"","uid","domainID","siteID","namedLocation","collectDate","parentSampleID","waterSampleID","waterSampleCode","sdgFieldDataQF","publicationDate","release","date_time","time"
"384","8d6246bb-ef23-4ab2-bc7c-e33917ee08fd","D05","CRAM","CRAM.AOS.buoy.c1",2020-10-20 16:38:00,"CRAM.C1.20201020","CRAM.C1.20201020",NA,NA,"20221128T220221Z","RELEASE-2023",2020-10-20 11:38:00,2023-04-17 11:38:00
"385","06900b99-7eda-497b-a165-80dd7cb9927b","D05","CRAM","CRAM.AOS.buoy.c0",2021-02-09 17:41:00,"CRAM.C0.20210209","CRAM.C0.20210209",NA,NA,"20221129T231216Z","RELEASE-2023",2021-02-09 11:41:00,2023-04-17 11:41:00
"386","19213322-399a-478d-b9c8-091d6b620b07","D05","CRAM","CRAM.AOS.buoy.c0",2021-03-01 17:30:00,"CRAM.C0.20210301","CRAM.C0.20210301",NA,NA,"20221129T215337Z","RELEASE-2023",2021-03-01 11:30:00,2023-04-17 11:30:00
"387","ac989f93-804d-4f3a-9231-e03400e3a115","D05","CRAM","CRAM.AOS.buoy.c1",2021-04-20 15:01:00,"CRAM.C1.20210420","CRAM.C1.20210420",NA,NA,"20221129T220311Z","RELEASE-2023",2021-04-20 10:01:00,2023-04-17 10:01:00
"388","27ae65f0-c749-4556-adb8-455a08fa9018","D05","CRAM","CRAM.AOS.buoy.c2",2021-04-20 15:32:00,"CRAM.C2.20210420","CRAM.C2.20210420",NA,NA,"20221129T220311Z","RELEASE-2023",2021-04-20 10:32:00,2023-04-17 10:32:00
"389","9b336cbd-09b1-41db-b6bd-3ec314e3a532","D05","CRAM","CRAM.AOS.buoy.c1",2021-05-04 17:03:00,"CRAM.C1.20210504","CRAM.C1.20210504",NA,NA,"20221129T222757Z","RELEASE-2023",2021-05-04 12:03:00,2023-04-17 12:03:00
"390","4de8156b-98f3-4c31-bf88-538b9d5601cd","D05","CRAM","CRAM.AOS.buoy.c2",2021-05-04 17:04:00,"CRAM.C2.20210504","CRAM.C2.20210504",NA,NA,"20221129T222757Z","RELEASE-2023",2021-05-04 12:04:00,2023-04-17 12:04:00
"391","00d1f58a-a142-4698-9d3b-fc611a02bfcd","D05","CRAM","CRAM.AOS.buoy.c1",2021-06-01 15:48:00,"CRAM.C1.20210601","CRAM.C1.20210601",NA,NA,"20221129T220303Z","RELEASE-2023",2021-06-01 10:48:00,2023-04-17 10:48:00
"392","ee0b6761-e675-4921-a31d-27333b46f010","D05","CRAM","CRAM.AOS.buoy.c2",2021-06-01 16:02:00,"CRAM.C2.20210601","CRAM.C2.20210601",NA,NA,"20221129T220303Z","RELEASE-2023",2021-06-01 11:02:00,2023-04-17 11:02:00
"393","fe396499-35a3-4399-8a41-8d5b469f9510","D05","CRAM","CRAM.AOS.buoy.c1",2021-07-06 15:12:00,"CRAM.C1.20210706","CRAM.C1.20210706",NA,NA,"20221129T215042Z","RELEASE-2023",2021-07-06 10:12:00,2023-04-17 10:12:00
"394","de2a88a5-52cf-41e3-b962-569e88276533","D05","CRAM","CRAM.AOS.buoy.c1",2021-07-06 15:12:00,"CRAM.C1.20210706","CRAM.C1.20210706.3",NA,NA,"20221129T215042Z","RELEASE-2023",2021-07-06 10:12:00,2023-04-17 10:12:00
"395","50c58741-2d92-4559-8e01-5830da30d58b","D05","CRAM","CRAM.AOS.buoy.c1",2021-07-06 15:12:00,"CRAM.C1.20210706","CRAM.C1.20210706.2",NA,NA,"20221129T215042Z","RELEASE-2023",2021-07-06 10:12:00,2023-04-17 10:12:00
"396","095b8dbd-d98c-4fa0-a625-b720aaaf610a","D05","CRAM","CRAM.AOS.buoy.c2",2021-07-06 15:30:00,"CRAM.C2.20210706","CRAM.C2.20210706.2",NA,NA,"20221129T215042Z","RELEASE-2023",2021-07-06 10:30:00,2023-04-17 10:30:00
"397","8b451a1d-8d73-4bcc-b713-bed36193c141","D05","CRAM","CRAM.AOS.buoy.c2",2021-07-06 15:30:00,"CRAM.C2.20210706","CRAM.C2.20210706",NA,NA,"20221129T215042Z","RELEASE-2023",2021-07-06 10:30:00,2023-04-17 10:30:00
