Serial Number:	20725838 --

Date Time, GMT -0400	Temp, (*F)	Button Down	Button Up	Host Connect	Stopped	EOF	
2022-06-03 14:24:26	72.15	 	 	 	 	 	
2022-06-03 14:24:27	72.23	 	 	 	 	 	
2022-06-03 14:24:28	72.30	 	 	 	 	 	
2022-06-03 14:24:29	72.30	 	 	 	 	 	
2022-06-03 14:24:30	72.23	 	 	 	 	 	
2022-06-03 14:24:31	72.23	 	 	 	 	 	
2022-06-03 14:24:32	72.23	 	 	 	 	 	
2022-06-03 14:24:33	72.23	 	 	 	 	 	
2022-06-03 14:24:34	72.23	 	 	 	 	 	
2022-06-03 14:24:35	72.23	 	 	 	 	 	
2022-06-03 14:24:36	72.23	 	 	 	 	 	
2022-06-03 14:24:37	72.15	 	 	 	 	 	
2022-06-03 14:24:38	72.23	 	 	 	 	 	
2022-06-03 14:24:39	72.30	 	 	 	 	 	
2022-06-03 14:24:40	72.23	 	 	 	 	 	
2022-06-03 14:24:41	72.30	 	 	 	 	 	
2022-06-03 14:24:42	72.30	 	 	 	 	 	
2022-06-03 14:24:43	72.23	 	 	 	 	 	
2022-06-03 14:24:44	72.23	 	 	 	 	 	
2022-06-03 14:24:45	72.23	 	 	 	 	 	
2022-06-03 14:24:46	72.15	 	 	 	 	 	
2022-06-03 14:24:47	72.23	 	 	 	 	 	
2022-06-03 14:24:48	72.30	 	 	 	 	 	
2022-06-03 14:24:49	72.23	 	 	 	 	 	
2022-06-03 14:24:50	72.15	 	 	 	 	 	
2022-06-03 14:24:51	72.23	 	 	 	 	 	
2022-06-03 14:24:52	72.23	 	 	 	 	 	
2022-06-03 14:24:53	72.23	 	 	 	 	 	
2022-06-03 14:24:54	72.23	 	 	 	 	 	
2022-06-03 14:24:55	72.23	 	 	 	 	 	
2022-06-03 14:24:56	72.15	 	 	 	 	 	
2022-06-03 14:24:57	72.23	 	 	 	 	 	
2022-06-03 14:24:58	72.23	 	 	 	 	 	
2022-06-03 14:24:59	72.15	 	 	 	 	 	
2022-06-03 14:25:00	72.23	 	 	 	 	 	
2022-06-03 14:25:01	72.23	 	 	 	 	 	
2022-06-03 14:25:02	72.23	 	 	 	 	 	
2022-06-03 14:25:03	72.23	 	 	 	 	 	
2022-06-03 14:25:04	72.30	 	 	 	 	 	
2022-06-03 14:25:05	72.23	 	 	 	 	 	
2022-06-03 14:25:06	72.23	 	 	 	 	 	
2022-06-03 14:25:07	72.23	 	 	 	 	 	
2022-06-03 14:25:08	72.23	 	 	 	 	 	
2022-06-03 14:25:09	72.15	 	 	 	 	 	
2022-06-03 14:25:10	72.30	 	 	 	 	 	
2022-06-03 14:25:11	72.23	 	 	 	 	 	
2022-06-03 14:25:12	72.15	 	 	 	 	 	
2022-06-03 14:25:13	72.23	 	 	 	 	 	
2022-06-03 14:25:14	72.23	 	 	 	 	 	
2022-06-03 14:25:15	72.23	 	 	 	 	 	
2022-06-03 14:25:16	72.23	 	 	 	 	 	
2022-06-03 14:25:17	72.23	 	 	 	 	 	
2022-06-03 14:25:18	72.23	 	 	 	 	 	
2022-06-03 14:25:19	72.23	 	 	 	 	 	
2022-06-03 14:25:20	72.23	 	 	 	 	 	
2022-06-03 14:25:21	72.23	 	 	 	 	 	
2022-06-03 14:25:22	72.23	 	 	 	 	 	
2022-06-03 14:25:23	72.23	 	 	 	 	 	
2022-06-03 14:25:24	72.23	 	 	 	 	 	
2022-06-03 14:25:25	72.15	 	 	 	 	 	
2022-06-03 14:25:26	72.23	 	 	 	 	 	
2022-06-03 14:25:27	72.30	 	 	 	 	 	
2022-06-03 14:25:28	72.23	 	 	 	 	 	
2022-06-03 14:25:29	72.23	 	 	 	 	 	
2022-06-03 14:25:30	72.23	 	 	 	 	 	
2022-06-03 14:25:31	72.23	 	 	 	 	 	
2022-06-03 14:25:32	72.23	 	 	 	 	 	
2022-06-03 14:25:33	72.23	 	 	 	 	 	
2022-06-03 14:25:34	72.15	 	 	 	 	 	
2022-06-03 14:25:35	72.30	 	 	 	 	 	
2022-06-03 14:25:36	72.23	 	 	 	 	 	
2022-06-03 14:25:37	72.15	 	 	 	 	 	
2022-06-03 14:25:38	72.23	 	 	 	 	 	
2022-06-03 14:25:39	72.23	 	 	 	 	 	
2022-06-03 14:25:40	72.23	 	 	 	 	 	
2022-06-03 14:25:41	72.23	 	 	 	 	 	
2022-06-03 14:25:42	72.15	 	 	 	 	 	
2022-06-03 14:25:43	72.23	 	 	 	 	 	
2022-06-03 14:25:44	72.23	 	 	 	 	 	
2022-06-03 14:25:45	72.15	 	 	 	 	 	
2022-06-03 14:25:46	72.15	 	 	 	 	 	
2022-06-03 14:25:47	72.15	 	 	 	 	 	
2022-06-03 14:25:48	72.23	 	 	 	 	 	
2022-06-03 14:25:49	72.23	 	 	 	 	 	
2022-06-03 14:25:50	72.23	 	 	 	 	 	
