Serial Number:	20725838 --

Date Time, GMT -0400	Temp, (*F)	Button Down	Button Up	Host Connect	EOF	
2022-06-20 14:45:25	142.81	 	 	 	 	
2022-06-20 14:45:26	142.81	 	 	 	 	
2022-06-20 14:45:27	142.73	 	 	 	 	
2022-06-20 14:45:28	142.81	 	 	 	 	
2022-06-20 14:45:29	142.73	 	 	 	 	
2022-06-20 14:45:30	142.81	 	 	 	 	
2022-06-20 14:45:31	142.73	 	 	 	 	
2022-06-20 14:45:32	142.73	 	 	 	 	
2022-06-20 14:45:33	142.73	 	 	 	 	
2022-06-20 14:45:34	142.73	 	 	 	 	
2022-06-20 14:45:35	142.73	 	 	 	 	
2022-06-20 14:45:36	142.73	 	 	 	 	
2022-06-20 14:45:37	142.81	 	 	 	 	
2022-06-20 14:45:38	142.81	 	 	 	 	
2022-06-20 14:45:39	142.81	 	 	 	 	
2022-06-20 14:45:40	142.81	 	 	 	 	
2022-06-20 14:45:41	142.73	 	 	 	 	
2022-06-20 14:45:42	142.65	 	 	 	 	
2022-06-20 14:45:43	142.73	 	 	 	 	
2022-06-20 14:45:44	142.65	 	 	 	 	
2022-06-20 14:45:45	142.58	 	 	 	 	
2022-06-20 14:45:46	142.58	 	 	 	 	
2022-06-20 14:45:47	142.65	 	 	 	 	
2022-06-20 14:45:48	142.65	 	 	 	 	
2022-06-20 14:45:49	142.58	 	 	 	 	
2022-06-20 14:45:50	142.58	 	 	 	 	
2022-06-20 14:45:51	142.50	 	 	 	 	
2022-06-20 14:45:52	142.58	 	 	 	 	
2022-06-20 14:45:53	142.42	 	 	 	 	
2022-06-20 14:45:54	142.50	 	 	 	 	
2022-06-20 14:45:55	142.50	 	 	 	 	
2022-06-20 14:45:56	142.50	 	 	 	 	
2022-06-20 14:45:57	142.50	 	 	 	 	
2022-06-20 14:45:58	142.42	 	 	 	 	
2022-06-20 14:45:59	142.50	 	 	 	 	
2022-06-20 14:46:00	142.42	 	 	 	 	
2022-06-20 14:46:01	142.42	 	 	 	 	
2022-06-20 14:46:02	142.42	 	 	 	 	
2022-06-20 14:46:03	142.42	 	 	 	 	
2022-06-20 14:46:04	142.42	 	 	 	 	
2022-06-20 14:46:05	142.34	 	 	 	 	
2022-06-20 14:46:06	142.42	 	 	 	 	
2022-06-20 14:46:07	142.42	 	 	 	 	
2022-06-20 14:46:08	142.42	 	 	 	 	
2022-06-20 14:46:09	142.34	 	 	 	 	
2022-06-20 14:46:10	142.34	 	 	 	 	
2022-06-20 14:46:11	142.34	 	 	 	 	
2022-06-20 14:46:12	142.34	 	 	 	 	
2022-06-20 14:46:13	142.34	 	 	 	 	
2022-06-20 14:46:14	142.34	 	 	 	 	
2022-06-20 14:46:15	142.34	 	 	 	 	
2022-06-20 14:46:16	142.42	 	 	 	 	
2022-06-20 14:46:17	142.34	 	 	 	 	
2022-06-20 14:46:18	142.27	 	 	 	 	
2022-06-20 14:46:19	142.34	 	 	 	 	
2022-06-20 14:46:20	142.34	 	 	 	 	
2022-06-20 14:46:21	142.34	 	 	 	 	
2022-06-20 14:46:22	142.34	 	 	 	 	
2022-06-20 14:46:23	142.27	 	 	 	 	
2022-06-20 14:46:24	142.34	 	 	 	 	
2022-06-20 14:46:25	142.34	 	 	 	 	
2022-06-20 14:46:26	142.34	 	 	 	 	
2022-06-20 14:46:27	142.34	 	 	 	 	
2022-06-20 14:46:28	142.34	 	 	 	 	
2022-06-20 14:46:29	142.34	 	 	 	 	
2022-06-20 14:46:30	142.27	 	 	 	 	
2022-06-20 14:46:31	142.34	 	 	 	 	
2022-06-20 14:46:32	142.34	 	 	 	 	
2022-06-20 14:46:33	142.34	 	 	 	 	
2022-06-20 14:46:34	142.34	 	 	 	 	
2022-06-20 14:46:35	142.34	 	 	 	 	
2022-06-20 14:46:36	142.42	 	 	 	 	
2022-06-20 14:46:37	142.34	 	 	 	 	
2022-06-20 14:46:38	142.34	 	 	 	 	
2022-06-20 14:46:39	142.34	 	 	 	 	
2022-06-20 14:46:40	142.42	 	 	 	 	
2022-06-20 14:46:41	142.34	 	 	 	 	
2022-06-20 14:46:42	142.34	 	 	 	 	
2022-06-20 14:46:43	142.34	 	 	 	 	
2022-06-20 14:46:44	142.34	 	 	 	 	
2022-06-20 14:46:45	142.42	 	 	 	 	
2022-06-20 14:46:46	142.27	 	 	 	 	
2022-06-20 14:46:47	142.34	 	 	 	 	
2022-06-20 14:46:48	142.34	 	 	 	 	
2022-06-20 14:46:49	142.34	 	 	 	 	
2022-06-20 14:46:50	142.34	 	 	 	 	
2022-06-20 14:46:51	142.34	 	 	 	 	
2022-06-20 14:46:52	142.34	 	 	 	 	
2022-06-20 14:46:53	142.34	 	 	 	 	
2022-06-20 14:46:54	142.34	 	 	 	 	
2022-06-20 14:46:55	142.27	 	 	 	 	
2022-06-20 14:46:56	142.34	 	 	 	 	
2022-06-20 14:46:57	142.34	 	 	 	 	
2022-06-20 14:46:58	142.34	 	 	 	 	
2022-06-20 14:46:59	142.42	 	 	 	 	
2022-06-20 14:47:00	142.34	 	 	 	 	
2022-06-20 14:47:01	142.42	 	 	 	 	
2022-06-20 14:47:02	142.34	 	 	 	 	
2022-06-20 14:47:03	142.27	 	 	 	 	
2022-06-20 14:47:04	142.34	 	 	 	 	
2022-06-20 14:47:05	142.34	 	 	 	 	
2022-06-20 14:47:06	142.34	 	 	 	 	
2022-06-20 14:47:07	142.42	 	 	 	 	
2022-06-20 14:47:08	142.42	 	 	 	 	
2022-06-20 14:47:09	142.34	 	 	 	 	
2022-06-20 14:47:10	142.42	 	 	 	 	
2022-06-20 14:47:11	142.34	 	 	 	 	
2022-06-20 14:47:12	142.34	 	 	 	 	
2022-06-20 14:47:13	142.34	 	 	 	 	
2022-06-20 14:47:14	142.34	 	 	 	 	
2022-06-20 14:47:15	142.34	 	 	 	 	
2022-06-20 14:47:16	142.34	 	 	 	 	
2022-06-20 14:47:17	142.34	 	 	 	 	
2022-06-20 14:47:18	142.34	 	 	 	 	
2022-06-20 14:47:19	142.42	 	 	 	 	
2022-06-20 14:47:20	142.34	 	 	 	 	
2022-06-20 14:47:21	142.42	 	 	 	 	
2022-06-20 14:47:22	142.34	 	 	 	 	
2022-06-20 14:47:23	142.34	 	 	 	 	
2022-06-20 14:47:24	142.34	 	 	 	 	
2022-06-20 14:47:25	142.34	 	 	 	 	
2022-06-20 14:47:26	142.34	 	 	 	 	
2022-06-20 14:47:27	142.34	 	 	 	 	
2022-06-20 14:47:28	142.34	 	 	 	 	
2022-06-20 14:47:29	142.42	 	 	 	 	
2022-06-20 14:47:30	142.42	 	 	 	 	
