"site","date","period","sum_flux"
"Deans","2022-08-16","2~3",3.20493901792437
"Deans","2022-08-16","3~4",0.321705064345857
"Deans","2022-08-16","4~5",13.384145666525
"Deans","2022-08-16","5~6",2.71937186720371
"Deans","2022-08-16","6~7",9.16514468124551
"Deans","2022-08-16","7~8",2.70861187900005
"Deans","2022-08-16","0~1",0.0548535087840976
"Deans","2022-08-16","1~2",2.22249798803388
"Deans","2022-08-16","2~3",2.89092369761322
"Deans","2022-08-16","3~4",2.09365569347029
"Deans","2022-08-16","4~5",16.6791652371549
"Deans","2022-08-16","5~6",1.16387199155598
"Deans","2022-08-16","6~7",3.35766701175226
"Deans","2022-08-16","7~8",2.68909713845524
"Deans","2022-08-16","0~1",0.271457130636263
"Deans","2022-08-16","1~2",6.78308889503454
"Deans","2022-08-16","2~3",8.21162706540377
"Deans","2022-08-16","3~4",1.64526044857755
"Deans","2022-08-16","4~5",6.26355070882087
"Deans","2022-08-16","5~6",1.27594374714158
"Deans","2022-08-16","6~7",1.29308427157088
"Deans","2022-08-16","7~8",4.67343826897842
"Deans","2022-08-16","0~1",0.0427342962492286
"Deans","2022-08-16","1~2",3.50151344147637
"Deans","2022-08-16","2~3",1.55772683171934
"Deans","2022-08-16","3~4",1.40268843391387
"Deans","2022-08-16","4~5",3.84687218392621
"Deans","2022-08-16","5~6",1.26045436242795
"Deans","2022-08-16","6~7",2.20367058790454
"Deans","2022-08-16","7~8",3.04516270151191
"Deans","2022-08-16","0~1",1.55035533582072
"Deans","2022-08-16","1~2",8.92087055971606
"Deans","2022-08-16","2~3",6.52049939863776
"Deans","2022-08-16","3~4",0.73316749151102
"Deans","2022-08-16","4~5",13.5562623250839
"Deans","2022-08-16","5~6",1.52488746846427
"Deans","2022-08-16","6~7",1.28774176992884
"Deans","2022-08-16","7~8",2.53060318381273
"Deans","2022-08-16","0~1",0.0667633647834601
"Deans","2022-08-16","1~2",4.42331200388414
"Deans","2022-08-16","2~3",3.48471207041262
"Deans","2022-08-16","3~4",1.30867498843055
"Deans","2022-08-16","4~5",6.36906285132839
"Deans","2022-08-16","5~6",3.00962479886804
"Deans","2022-08-16","6~7",5.84745772044494
"Deans","2022-08-16","7~8",3.10468799007077
"Deans","2022-08-16","0~1",0.090688541373065
"Deans","2022-08-16","1~2",3.01725423738604
"Deans","2022-08-16","2~3",6.70204766183933
"Deans","2022-08-16","3~4",0.744790633955291
"Deans","2022-08-16","4~5",14.7361326087913
"Deans","2022-08-16","5~6",1.60008696685106
"Deans","2022-08-16","6~7",2.50341049907997
"Deans","2022-08-16","7~8",5.1692479813768
"Deans","2022-08-16","0~1",0.255926711202402
"Deans","2022-08-16","1~2",3.33134199202592
"Deans","2022-08-16","2~3",1.94205967693872
"Deans","2022-08-16","3~4",1.30336698848628
"Deans","2022-08-16","4~5",3.79579251435739
"Deans","2022-08-16","5~6",2.00519402024176
"Deans","2022-08-16","6~7",3.87978098669555
"Deans","2022-08-16","7~8",4.77003780191481
"Deans","2022-08-16","0~1",0.0410119820257997
"Deans","2022-08-16","1~2",3.94024488817633
"Deans","2022-08-16","2~3",2.01953876949988
"Deans","2022-08-16","3~4",0.72428517183302
"Deans","2022-08-16","4~5",1.69294229203755
"Deans","2022-08-16","5~6",0.977310450733239
"Deans","2022-08-16","6~7",12.4116539979736
"Deans","2022-08-16","7~8",3.4849839508846
"Deans","2022-08-16","0~1",2.34962763697095
"Deans","2022-08-16","1~2",3.02603702145724
"Deans","2022-08-16","2~3",4.10623111243662
"Deans","2022-08-16","3~4",2.20200878708873
"Deans","2022-08-16","4~5",11.063232581442
"Deans","2022-08-16","5~6",1.26089217732302
"Deans","2022-08-16","6~7",3.69814753423339
"Deans","2022-08-16","7~8",3.86793615750381
"Deans","2022-08-16","0~1",0.998685733914448
"Deans","2022-08-16","1~2",5.17326461548511
"Deans","2022-08-16","2~3",5.20708638805639
"Deans","2022-08-16","3~4",1.13645028162871
"Deans","2022-08-16","4~5",4.54663226775196
"Deans","2022-08-16","5~6",0.897823299489528
"Deans","2022-08-16","6~7",6.10896044553264
"Deans","2022-08-16","7~8",2.20066185796834
"Deans","2022-08-16","0~1",0.0935702537146454
"Deans","2022-08-16","1~2",5.01172501832662
"Deans","2022-08-16","2~3",3.13137460554255
"Deans","2022-08-16","3~4",1.87717518798158
"Deans","2022-08-16","4~5",3.23477015505174
"Deans","2022-08-16","5~6",2.41526933687314
"Deans","2022-08-16","6~7",8.13363283684621
"Deans","2022-08-16","7~8",2.21128719379977
"Deans","2022-08-16","0~1",0.965714159130621
"Deans","2022-08-16","1~2",5.11417512774713
"Deans","2022-08-16","2~3",6.80088495555934
"Deans","2022-08-16","3~4",1.52527719491887
"Deans","2022-08-16","4~5",2.78168861414734
"Deans","2022-08-16","5~6",1.10003743430047
"Deans","2022-08-16","6~7",2.14904329033756
"Deans","2022-08-16","7~8",2.1559891094207
"Deans","2022-08-16","0~1",0.648672076421649
"Deans","2022-08-16","1~2",9.10283828652324
"Deans","2022-08-16","2~3",8.37876146272985
"Deans","2022-08-16","3~4",2.00204554589202
"Deans","2022-08-16","4~5",3.26649826738627
"Deans","2022-08-16","5~6",2.78441200115904
"Deans","2022-08-16","6~7",6.34108136245796
"Deans","2022-08-16","7~8",3.85529449324043
"Deans","2022-08-16","0~1",0.52365659869174
"Deans","2022-08-16","1~2",7.27802674942258
"Deans","2022-08-16","2~3",4.1106527909995
"Deans","2022-08-16","3~4",3.25432440828327
"Deans","2022-08-16","4~5",2.88687683245673
"Deans","2022-08-16","5~6",3.19799977609701
"Deans","2022-08-16","6~7",3.78848364102108
"Deans","2022-08-16","7~8",5.95251281789982
"Deans","2022-08-16","0~1",0.0688225406857727
"Deans","2022-08-16","1~2",7.33301165983654
"Deans","2022-08-16","2~3",2.604506662897
"Deans","2022-08-16","3~4",2.34377245433535
"Deans","2022-08-16","4~5",13.4541941539513
"Deans","2022-08-16","5~6",2.63650401207759
"Deans","2022-08-16","6~7",1.88511143061263
"Deans","2022-08-16","7~8",4.31982806422983
"Deans","2022-08-16","0~1",1.34223489335098
"Deans","2022-08-16","1~2",3.37767251107977
"Deans","2022-08-16","2~3",6.66511795314404
"Deans","2022-08-16","3~4",1.85123970095764
"Deans","2022-08-16","4~5",12.0245215608751
"Deans","2022-08-16","5~6",1.9096637531747
"Deans","2022-08-16","6~7",7.92995201282845
"Deans","2022-08-16","7~8",2.37919769814541
"Deans","2022-08-16","0~1",0.757770040019123
"Deans","2022-08-16","1~2",5.03753651346924
"Deans","2022-08-16","2~3",5.65830100547827
"Deans","2022-08-16","3~4",0.869032541281357
"Deans","2022-08-16","4~5",9.51828527096695
"Deans","2022-08-16","5~6",1.51056302106156
"Deans","2022-08-16","6~7",6.5541187795852
"Deans","2022-08-16","7~8",2.93353007118011
"Deans","2022-08-16","0~1",0.629122983919677
"Deans","2022-08-16","1~2",2.59600289641992
"Deans","2022-08-16","2~3",10.4088345955297
"Deans","2022-08-16","3~4",2.24448782228654
"Deans","2022-08-16","4~5",11.0072239525082
"Deans","2022-08-16","5~6",2.71895818802664
"Deans","2022-08-16","6~7",1.89693265955842
"Deans","2022-08-16","7~8",5.63517434582216
"Deans","2022-08-16","0~1",1.63148560522287
"Deans","2022-08-16","1~2",4.01222475407417
"Deans","2022-08-16","2~3",1.78689602389787
"Deans","2022-08-16","3~4",1.4310526586141
"Deans","2022-08-16","4~5",21.1663677393935
"Deans","2022-08-16","5~6",1.8784851070235
"Deans","2022-08-16","6~7",6.30978737067219
"Deans","2022-08-16","7~8",3.67798959721115
"Deans","2022-08-16","0~1",1.0014991945439
