"site","location","start_time","flux_ch4_mmol","flux_ch4_g","flux_co2_mmol","flux_co2_g","trip"
"Sisters3","P2C",2022-08-22 13:38:37.242,0.541990198999059,0.0086935227919449,-2.6068501420867,-0.114727474753236,2
"Sisters3","P2D",2022-08-22 13:44:19.825,1.5431099961517,0.0247514843382732,-2.55410005126207,-0.112405943256044,2
"Sisters3","P3B",2022-08-22 13:49:39.426,0.499990717512403,0.00801985110889894,-4.10416063343155,-0.180624109477322,2
"Sisters3","P3E",2022-08-22 13:52:36.328,0.492684135092955,0.007902653526891,4.62747704564432,0.203655264778806,2
"Sisters3","P4A",2022-08-22 13:55:41.220,0.525255226530353,0.00842509383354686,-2.87851203496933,-0.126683314659,2
"Sisters3","P4C",2022-08-22 14:04:11.542,0.301436742138409,0.00483504534390008,-3.41721363602718,-0.150391572121556,2
"Sisters3","P4D",2022-08-22 14:12:38.024,0.321105951904308,0.0051505394685451,-0.697039376080628,-0.0306767029413085,2
"Sisters3","P5B",2022-08-22 14:16:54.335,0.529778355432561,0.00849764482113827,1.95385513433348,0.0859891644620167,2
"Sisters3","P5E",2022-08-22 14:21:51.639,0.949559918862192,0.0152309410985496,1.80817640022566,0.0795778433739315,2
"Sisters3","P1B",2022-08-22 16:17:42.165,1.17900981343281,0.0189113174074622,-17.4846604553822,-0.769499906641369,3
"Sisters3","P1E",2022-08-22 16:22:07.571,0.400850940310715,0.00642964908258387,2.88670318659784,0.127043807242171,3
"Sisters3","P2A",2022-08-22 16:26:55.054,0.828950492179837,0.0132963658945646,-7.39906305931055,-0.325632765240257,3
"Sisters3","P2C",2022-08-22 16:37:59.881,0.541668585187808,0.00868836410641245,-6.90837807148551,-0.304037718926077,3
"Sisters3","P2D",2022-08-22 16:49:14.167,2.03368159019448,0.0326202527067195,-20.2647274086771,-0.891850653255881,3
"Sisters3","P3B",2022-08-22 16:53:29.959,0.532265335736789,0.00853753598521809,1.11642678905694,0.0491339429863959,3
"Sisters3","P3E",2022-08-22 16:56:32.669,0.324202252115994,0.00520020412394055,-6.08162516925315,-0.267652323698831,3
"Sisters3","P4A",2022-08-22 17:00:59.355,0.544963076154764,0.00874120774152242,-7.09854756447507,-0.312407078312548,3
"Sisters3","P4C",2022-08-22 17:13:10.773,0.340370390697746,0.00545954106679185,-8.52211400525111,-0.375058237371101,3
"Sisters3","P4D",2022-08-22 17:21:01.557,0.525484769755652,0.00842877570688065,-1.48738636188364,-0.0654598737864992,3
"Sisters3","P5B",2022-08-22 17:25:11.368,0.633066264727565,0.0101543828862301,1.02937719574849,0.0453028903848911,3
"Sisters3","P5E",2022-08-22 17:28:58.263,0.437223721849089,0.00701306849845939,-3.52360067432836,-0.155073665677191,3
"Sisters3","P1B",2022-08-22 19:11:10.355,0.769511062527788,0.0123429574429457,-16.9479611658468,-0.745879770908919,4
"Sisters3","P1E",2022-08-22 19:14:33.075,0.503751740919608,0.00808017792435051,-13.2985289597339,-0.58526825951789,4
"Sisters3","P2A",2022-08-22 19:17:56.534,-0.218865791163621,-0.00351060729026448,-12.0656295983888,-0.531008358625092,4
"Sisters3","P2C",2022-08-22 19:25:26.255,0.289120568356877,0.0046374939164443,-9.46985028043443,-0.416768110841919,4
"Sisters3","P2D",2022-08-22 19:34:03.486,0.656203173035585,0.0105254988954908,-23.2563266642507,-1.02351093649367,4
"Sisters3","P3B",2022-08-22 19:39:06.042,0.563875267426106,0.00904455928951474,-13.8266272165026,-0.608509863798278,4
"Sisters3","P3E",2022-08-22 19:42:47.047,0.768127449223509,0.0123207642855451,-20.7353653657502,-0.912563429746665,4
"Sisters3","P4A",2022-08-22 19:46:28.840,0.433887127785439,0.00695954952967844,-6.92927035741681,-0.304957188429914,4
"Sisters3","P4C",2022-08-22 19:53:00.435,1.93234208277759,0.0309947670077525,-8.98066408176911,-0.395239026238659,4
"Sisters3","P4D",2022-08-22 19:59:12.258,0.784448730868081,0.012582557643124,-18.5094979203529,-0.814603003474733,4
"Sisters3","P5B",2022-08-22 20:03:54.071,1.86536869789721,0.0299205139142712,-14.3545263219896,-0.63174270343076,4
"Sisters3","P5E",2022-08-22 20:07:25.953,3.81191064720826,0.0611430467812205,-4.95820330353205,-0.218210527388445,4
"Sisters3","P1B",2022-08-22 22:00:28.356,0.664223442061363,0.0106541440106643,-15.2921578673713,-0.673007867743009,5
"Sisters3","P1E",2022-08-22 22:04:10.827,0.441893017497338,0.0070879640006573,-9.05623143501766,-0.398564745455127,5
