run.start.time	trap.number	gas.vol	vial.number	emptied?	anenometer	diffusive.start	diffusive.end	top.temp	top.mmHg	top.DO.L	top.DO.mgL	top.SPC	top.C	top.pH	bottom.temp	bottom.mmHg	bottom.DO.L	bottom.DO.mgL	bottom.SPC	bottom.C	bottom.pH	macrophyte.shade	notes
6:35	C4A	0.5	NA	NO	0.3/0.3	7:13:39.371	7:16:52.872	28	748.1	65.9	5.06	62.8	66.3	7.25	28	748	65.8	5.06	62.8	66.5	7.25	dark	
6:35	C4B	4	NA	NO																		dark	
6:35	C4C	2.5	NA	NO	0.0/0.0	7:20:04.671	7:22:00.572	27.9	748.1	6.46	5	62.8	66.3	7.29	27.9	748.1	46.5	3.58	64.4	68	7.09	dark	
6:35	C4D	10	NA	NO	0.0/0.0	7:24:22.568	7:25:59.475															dark	
6:35	C4E	19	NA	NO																		dark	
6:35	C5A	12	NA	NO																		dark	
6:35	C5B	12	NA	NO	0.0/0.0	7:29:39.281	7:30:42.172															dark	
6:35	C5C	22.5	NA	NO																		dark	
6:35	C5D	20	NA	NO																		dark	
6:35	C5E	15	NA	NO	0.0/0.0	7:33:32.074	7:34:53.971															dark	
