"","ch4_diffusion_sim","co2_diffusion_sim","site","date","ord1","ord2","flux_round_diffusion_CH4","flux_round_diffusion_CO2","ch4_diffusion_difference","co2_diffusion_difference","ch4_ebullition_sim","flux_round_ebullition_CH4","ch4_ebullition_difference","ordeb1","ordeb2","sim_co2_eq","calc_co2_eq","co2_eq_diff"
"57",0.00712172277054672,1.23640982664092,"Deans",2022-08-30,3,8,0.0064,1.1893,0.000721722770546715,0.0471098266409238,0.0377587308913437,0.038,-0.000241269108656267,"2~3","7~8",2.44818207551197,2.3881,0.0600820755119655
"58",0.0042523073897695,0.644368463520053,"Deans",2022-08-30,4,4,0.0064,1.1893,-0.0021476926102305,-0.544931536479947,0.0398038655480937,0.038,0.00180386554809368,"3~4","3~4",1.83388513284236,2.3881,-0.554214867157641
"59",0.00495949348079859,0.59528280926987,"Deans",2022-08-30,4,5,0.0064,1.1893,-0.00144050651920141,-0.59401719073013,0.0482230410063344,0.038,0.0102230410063344,"3~4","4~5",2.03121124042246,2.3881,-0.356888759577538
"60",0.00456241948804575,0.765329777626525,"Deans",2022-08-30,4,6,0.0064,1.1893,-0.00183758051195425,-0.423970222373475,0.0341477369975435,0.038,-0.00385226300245654,"3~4","5~6",1.81050400273743,2.3881,-0.577595997262566
"61",0.00602457534584651,1.232921703386,"Deans",2022-08-30,4,7,0.0064,1.1893,-0.000375424654153491,0.0436217033859989,0.0345327501977521,0.038,-0.00346724980224789,"3~4","6~7",2.32796949306316,2.3881,-0.0601305069368387
"62",0.00511656298336704,1.23242891615123,"Deans",2022-08-30,4,8,0.0064,1.1893,-0.00128343701663296,0.0431289161512345,0.0232397365782189,0.038,-0.0147602634217811,"3~4","7~8",1.99804900431405,2.3881,-0.390050995685947
"63",0.00501950814704059,0.591117202515914,"Deans",2022-08-30,5,5,0.0064,1.1893,-0.00138049185295941,-0.598182797484086,0.054370515517723,0.038,0.016370515517723,"4~5","4~5",2.19464784146453,2.3881,-0.193452158535469
"64",0.00470975073064978,0.769564638934106,"Deans",2022-08-30,5,6,0.0064,1.1893,-0.00169024926935022,-0.419735361065894,0.0380700751756539,0.038,7.00751756538553e-05,"4~5","5~6",1.9246199384043,2.3881,-0.463480061595696
"65",0.00643575942401583,1.28875353357549,"Deans",2022-08-30,5,7,0.0064,1.1893,3.57594240158309e-05,0.0994535335754863,0.016101301987893,0.038,-0.021898698012107,"4~5","6~7",1.89725419169702,2.3881,-0.490845808302975
"66",0.00552943189093449,1.29674659458542,"Deans",2022-08-30,5,8,0.0064,1.1893,-0.000870568109065508,0.107446594585425,0.012024206268006,0.038,-0.025975793731994,"4~5","7~8",1.77069482487682,2.3881,-0.617405175123182
"67",0.00465465267192432,0.801305952655458,"Deans",2022-08-30,6,6,0.0064,1.1893,-0.00174534732807568,-0.387994047344542,0.0382605651548971,0.038,0.000260565154897113,"5~6","5~6",1.96001683397964,2.3881,-0.428083166020364
"68",0.0066850673068042,1.45485432971162,"Deans",2022-08-30,6,7,0.0064,1.1893,0.0002850673068042,0.265554329711616,0.041007497028467,0.038,0.00300749702846702,"5~6","6~7",2.74255356676394,2.3881,0.354453566763938
"69",0.00557066156394115,1.51506180105092,"Deans",2022-08-30,6,8,0.0064,1.1893,-0.000829338436058849,0.325761801050924,0.0163891790841329,0.038,-0.0216108209158671,"5~6","7~8",2.10797749854892,2.3881,-0.280122501451077
"70",0.00693866829347117,1.53648322974456,"Deans",2022-08-30,7,7,0.0064,1.1893,0.000538668293471169,0.347183229744561,0.0266369210637359,0.038,-0.0113630789362641,"6~7","6~7",2.44302414238915,2.3881,0.0549241423891513
"71",0.00596346962139352,1.70155545669552,"Deans",2022-08-30,7,8,0.0064,1.1893,-0.00043653037860648,0.512255456695517,0.0146515707675607,0.038,-0.0233484292324393,"6~7","7~8",2.25816154719728,2.3881,-0.12993845280272
"72",0.00583738989454116,1.72289701701629,"Deans",2022-08-30,8,8,0.0064,1.1893,-0.000562610105458837,0.533597017016294,0.0105847173680793,0.038,-0.0274152826319207,"7~8","7~8",2.16629391310705,2.3881,-0.221806086892952
"73",0.0100050502984725,4.14032509994056,"Catfish",2022-09-06,1,1,0.0117,3.1362,-0.00169494970152754,1.00412509994056,0.0394050141368046,0.1223,-0.0828949858631954,"0~1","0~1",5.47439683969304,6.7542,-1.27980316030696
"74",0.0204130712801381,4.10848967627477,"Catfish",2022-09-06,1,2,0.0117,3.1362,0.00871307128013811,0.97228967627477,0.0479130442084434,0.1223,-0.0743869557915566,"0~1","1~2",5.95329479446647,6.7542,-0.800905205533531
"75",0.0124830227011972,3.62054511951124,"Catfish",2022-09-06,1,3,0.0117,3.1362,0.000783022701197195,0.484345119511237,0.070613803680418,0.1223,-0.051686196319582,"0~1","2~3",5.86415943181485,6.7542,-0.890040568185154
"76",0.0152434148339725,3.14610332938506,"Catfish",2022-09-06,1,4,0.0117,3.1362,0.00354341483397248,0.00990332938505789,0.156588338146676,0.1223,0.0342883381466762,"0~1","3~4",7.78556065986257,6.7542,1.03136065986257
"77",0.00702651575623379,3.21070101871042,"Catfish",2022-09-06,1,5,0.0117,3.1362,-0.00467348424376621,0.07450101871042,0.0504197497764856,0.1223,-0.0718802502235144,"0~1","4~5",4.76175018809384,6.7542,-1.99244981190616
"78",0.00935621652226044,3.5412631794529,"Catfish",2022-09-06,1,6,0.0117,3.1362,-0.00234378347773956,0.405063179452897,0.0630944537174146,0.1223,-0.0592055462825854,"0~1","5~6",5.49743127592412,6.7542,-1.25676872407588
"79",0.00885351886745479,3.7945175634022,"Catfish",2022-09-06,1,7,0.0117,3.1362,-0.00284648113254521,0.658317563402199,0.0746957805980268,0.1223,-0.0476042194019732,"0~1","6~7",6.0503486489702,6.7542,-0.703851351029799
"80",0.0102907765043033,3.9655114586833,"Catfish",2022-09-06,1,8,0.0117,3.1362,-0.00140922349569669,0.829311458683301,0.0581392236816646,0.1223,-0.0641607763183354,"0~1","7~8",5.81312146370444,6.7542,-0.941078536295565
"81",0.0219235815727168,4.10386941895587,"Catfish",2022-09-06,2,2,0.0117,3.1362,0.0102235815727168,0.967669418955873,0.0433549756641545,0.1223,-0.0789450243358455,"1~2","1~2",5.8663904643514,6.7542,-0.887809535648601
"82",0.0143259177436511,3.52876961735433,"Catfish",2022-09-06,2,3,0.0117,3.1362,0.00262591774365105,0.392569617354333,0.104041266070936,0.1223,-0.0182587339290643,"1~2","2~3",6.72468358034818,6.7542,-0.0295164196518254
"83",0.0192128728697314,2.93680315874629,"Catfish",2022-09-06,2,4,0.0117,3.1362,0.00751287286973143,-0.199396841253711,0.159161262699882,0.1223,0.0368612626998825,"1~2","3~4",7.75290481912586,6.7542,0.998704819125864
"84",0.0106899248747708,2.96293143866921,"Catfish",2022-09-06,2,5,0.0117,3.1362,-0.00101007512522924,-0.17326856133079,0.0715628569032372,0.1223,-0.0507371430967628,"1~2","4~5",5.18375654667543,6.7542,-1.57044345332458
"85",0.0150950681306067,3.31963830546744,"Catfish",2022-09-06,2,6,0.0117,3.1362,0.00339506813060672,0.18343830546744,0.0591054492247224,0.1223,-0.0631945507752776,"1~2","5~6",5.32305227406133,6.7542,-1.43114772593868
"86",0.0157700523595366,3.59074781212302,"Catfish",2022-09-06,2,7,0.0117,3.1362,0.00407005235953656,0.454547812123021,0.0745961018484598,0.1223,-0.0477038981515402,"1~2","6~7",6.03063397573892,6.7542,-0.723566024261079
"87",0.0195239068804857,3.7583835525917,"Catfish",2022-09-06,2,8,0.0117,3.1362,0.00782390688048567,0.622183552591701,0.05931001373652,0.1223,-0.06298998626348,"1~2","7~8",5.88689940925085,6.7542,-0.867300590749147
"88",0.0132932118855531,3.45059967624259,"Catfish",2022-09-06,3,3,0.0117,3.1362,0.00159321188555305,0.314399676242588,0.0940857065603691,0.1223,-0.0282142934396309,"2~3","2~3",6.34983047428249,6.7542,-0.404369525717516
"89",0.0177064503416594,2.67043574503612,"Catfish",2022-09-06,3,4,0.0117,3.1362,0.00600645034165945,-0.465764254963879,0.193580979060482,0.1223,0.0712809790604818,"2~3","3~4",8.37519633889394,6.7542,1.62099633889394
"90",0.00639153315495225,2.58233913001515,"Catfish",2022-09-06,3,5,0.0117,3.1362,-0.00530846684504775,-0.553860869984852,0.0696328014682453,0.1223,-0.0526671985317547,"2~3","4~5",4.63499616484148,6.7542,-2.11920383515852
