"change_diff_eb","site","date","np"
0.0126572137358783,"Deans","2022-08-16",1
0.0107285462561888,"Deans","2022-08-16",1
0.00737547929062853,"Deans","2022-08-16",1
0.0678727106481588,"Deans","2022-08-16",1
0.0345689293946875,"Deans","2022-08-16",1
0.000336857822483779,"Deans","2022-08-16",1
0.0478282459521134,"Deans","2022-08-16",1
0.015342658657685,"Deans","2022-08-16",1
0.0125580179464958,"Deans","2022-08-16",1
0.00825950989786127,"Deans","2022-08-16",1
0.0134650817441245,"Deans","2022-08-16",1
0.026593146122362,"Deans","2022-08-16",1
0.0589028597543486,"Deans","2022-08-16",2
0.0272302607165126,"Deans","2022-08-16",2
0.00649797420271669,"Deans","2022-08-16",2
0.0108535406630909,"Deans","2022-08-16",2
0.0210214023439224,"Deans","2022-08-16",2
0.0151614437206001,"Deans","2022-08-16",2
0.0090646957221637,"Deans","2022-08-16",2
0.0106423294789439,"Deans","2022-08-16",2
0.0074549480710538,"Deans","2022-08-16",2
0.00701534412774539,"Deans","2022-08-16",2
0.0258797158089556,"Deans","2022-08-16",2
0.0200550811989603,"Deans","2022-08-16",2
0.0210599360497811,"Deans","2022-08-16",2
0.0116290909327128,"Deans","2022-08-16",2
0.0404220812708238,"Deans","2022-08-16",2
0.0526287404257043,"Deans","2022-08-16",2
0.00848293013402154,"Deans","2022-08-16",2
0.0136796805480668,"Deans","2022-08-16",2
0.0145829678468708,"Deans","2022-08-16",2
0.0229857562514805,"Deans","2022-08-16",2
0.0510523258221362,"Deans","2022-08-16",2
0.02006235197701,"Deans","2022-08-16",2
0.0348319593142935,"Deans","2022-08-16",2
0.0444251594666283,"Deans","2022-08-16",2
0.00554234917472368,"Deans","2022-08-16",2
0.0156295860372698,"Deans","2022-08-16",2
0.0230387608254543,"Deans","2022-08-16",2
0.0128186094332264,"Deans","2022-08-16",2
0.0258706900057881,"Deans","2022-08-16",2
0.00580008232737714,"Deans","2022-08-16",2
0.0257941017491322,"Deans","2022-08-16",2
0.00809522992384858,"Deans","2022-08-16",2
0.0172220879936029,"Deans","2022-08-16",2
0.00902827992745879,"Deans","2022-08-16",2
0.00921947364100352,"Deans","2022-08-16",2
0.0457978959099005,"Deans","2022-08-16",2
0.0132798469579293,"Deans","2022-08-16",2
0.0101012844686425,"Deans","2022-08-16",2
0.00798504827585558,"Deans","2022-08-16",2
0.026907261311602,"Deans","2022-08-16",2
0.00985592846210726,"Deans","2022-08-16",2
0.0219177089366713,"Deans","2022-08-16",2
0.0184535471995852,"Deans","2022-08-16",2
0.0120668919919054,"Deans","2022-08-16",2
0.0052467948464603,"Deans","2022-08-16",2
0.0151817716780738,"Deans","2022-08-16",2
0.0163312276613096,"Deans","2022-08-16",2
0.0231854344948016,"Deans","2022-08-16",2
0.0078246801546953,"Deans","2022-08-16",2
0.0156838010546086,"Deans","2022-08-16",2
0.0244698658074764,"Deans","2022-08-16",2
0.0192877228120955,"Deans","2022-08-16",2
0.0706065863440375,"Deans","2022-08-16",2
0.0106701361743778,"Deans","2022-08-16",2
0.0260255849929439,"Deans","2022-08-16",2
0.022161591269859,"Deans","2022-08-16",2
0.00729280344520479,"Deans","2022-08-16",2
0.0106069228082687,"Deans","2022-08-16",2
0.0295068652695725,"Deans","2022-08-16",2
0.037791531034333,"Deans","2022-08-16",2
0.00600234194120562,"Deans","2022-08-16",2
0.0187660731899003,"Deans","2022-08-16",2
0.00418182295111491,"Deans","2022-08-16",2
0.0183541607855564,"Deans","2022-08-16",2
0.0151960515616423,"Deans","2022-08-16",2
0.0203931078628697,"Deans","2022-08-16",2
0.0245903354588785,"Deans","2022-08-16",2
0.0171336789501768,"Deans","2022-08-16",2
0.0148476146476171,"Deans","2022-08-16",2
0.0109380759100878,"Deans","2022-08-16",2
0.012807608121505,"Deans","2022-08-16",2
0.0194253480687992,"Deans","2022-08-16",2
0.00402649163266441,"Deans","2022-08-16",2
0.0329125765659505,"Deans","2022-08-16",2
0.00567563572925859,"Deans","2022-08-16",2
0.00873257083143315,"Deans","2022-08-16",2
0.00196826436756879,"Deans","2022-08-16",2
0.00438163952062189,"Deans","2022-08-16",2
0.0231513281173807,"Deans","2022-08-16",2
0.0161268311028096,"Deans","2022-08-16",2
0.0109485390709327,"Deans","2022-08-16",2
0.0110805956735145,"Deans","2022-08-16",2
0.00541951282907021,"Deans","2022-08-16",2
0.0311258937772291,"Deans","2022-08-16",2
0.0203607305794397,"Deans","2022-08-16",2
0.0333193344754945,"Deans","2022-08-16",2
0.0202989643038011,"Deans","2022-08-16",2
0.0332001670721635,"Deans","2022-08-16",2
0.00823040168528948,"Deans","2022-08-16",2
0.00825142283517984,"Deans","2022-08-16",2
0.00724398302625735,"Deans","2022-08-16",2
0.00532367835770199,"Deans","2022-08-16",2
0.0189724215851587,"Deans","2022-08-16",2
0.00511390646027877,"Deans","2022-08-16",2
0.0068774090581715,"Deans","2022-08-16",2
0.0238630092436086,"Deans","2022-08-16",2
0.0124069327574145,"Deans","2022-08-16",2
0.0242554926255482,"Deans","2022-08-16",2
0.00219278935867148,"Deans","2022-08-16",2
0.0279954107609505,"Deans","2022-08-16",2
0.0047028393627087,"Deans","2022-08-16",3
