"change_diff_eb","site","date","nl"
0.0510454680769716,"Deans",2022-08-16,2
0.0128468924816006,"Deans",2022-08-16,2
0.0162193411500466,"Deans",2022-08-16,2
0.00827299993529593,"Deans",2022-08-16,2
0.0298887839805487,"Deans",2022-08-16,2
0.0104834956635255,"Deans",2022-08-16,2
0.0151149287731391,"Deans",2022-08-16,2
0,"Deans",2022-08-16,2
0.0121826436136461,"Deans",2022-08-16,2
0.00961215140303177,"Deans",2022-08-16,2
0.00717317509314123,"Deans",2022-08-16,2
0.0141351321124318,"Deans",2022-08-16,2
0.00722602582262343,"Deans",2022-08-16,3
0.00718797225488094,"Deans",2022-08-16,3
0.0110988189825835,"Deans",2022-08-16,3
0.0355568976281843,"Deans",2022-08-16,3
0.013122433801648,"Deans",2022-08-16,3
0.0172842501084644,"Deans",2022-08-16,3
0.0404470365835966,"Deans",2022-08-16,3
0.0233336665453663,"Deans",2022-08-16,3
0.0261202868112537,"Deans",2022-08-16,3
0.045049318963107,"Deans",2022-08-16,3
0.00654777372274086,"Deans",2022-08-16,3
0.0138566011962491,"Deans",2022-08-16,3
0.0448040931508005,"Deans",2022-08-16,3
0.0134849962738734,"Deans",2022-08-16,3
0.0435606206720424,"Deans",2022-08-16,3
0.037869248064668,"Deans",2022-08-16,3
0.0107678307411966,"Deans",2022-08-16,3
0.0142120686028825,"Deans",2022-08-16,3
0.0327100741351599,"Deans",2022-08-16,3
0.0308093657411167,"Deans",2022-08-16,3
0.0155352861772703,"Deans",2022-08-16,3
0.00907968815454809,"Deans",2022-08-16,3
0.0145252488005503,"Deans",2022-08-16,3
0.0435491739126504,"Deans",2022-08-16,3
0.00462840484144381,"Deans",2022-08-16,3
0.00999480607495974,"Deans",2022-08-16,3
0.0316925808998982,"Deans",2022-08-16,3
0.0148288216732818,"Deans",2022-08-16,3
0.0218668980491045,"Deans",2022-08-16,3
0.014308923107106,"Deans",2022-08-16,3
0.0795802790153457,"Deans",2022-08-16,3
0.0100119049732208,"Deans",2022-08-16,3
0.127810792266705,"Deans",2022-08-16,3
0.0256710168959842,"Deans",2022-08-16,3
0.0219045053645591,"Deans",2022-08-16,3
0.0178164133512795,"Deans",2022-08-16,3
0.00290159654651192,"Deans",2022-08-16,3
0.034236450419568,"Deans",2022-08-16,3
0.0294204484728459,"Deans",2022-08-16,3
0.0066277132033143,"Deans",2022-08-16,3
0.0102407829332545,"Deans",2022-08-16,3
0.00661836685826629,"Deans",2022-08-16,3
0.0209187687383862,"Deans",2022-08-16,3
0.0033427400576555,"Deans",2022-08-16,3
0.0204079135897488,"Deans",2022-08-16,3
0.0111684137145695,"Deans",2022-08-16,3
0.0617053443560162,"Deans",2022-08-16,3
0.00531103492588651,"Deans",2022-08-16,3
0.0105068839264726,"Deans",2022-08-16,3
0.00624292939610784,"Deans",2022-08-16,3
0.00748123536328711,"Deans",2022-08-16,3
0.0198948038611919,"Deans",2022-08-16,3
0.0128537313871719,"Deans",2022-08-16,3
0.0134776960133185,"Deans",2022-08-16,3
0.0112138059113923,"Deans",2022-08-16,3
0.0104972688467982,"Deans",2022-08-16,3
0.0143827449553743,"Deans",2022-08-16,3
0.0115890857254775,"Deans",2022-08-16,3
0.0115198003755331,"Deans",2022-08-16,3
0.0195679866579522,"Deans",2022-08-16,3
0.0211646656707452,"Deans",2022-08-16,3
0.0614757966833046,"Deans",2022-08-16,3
0.0238413672264018,"Deans",2022-08-16,3
0.0207684604865388,"Deans",2022-08-16,3
0.00707464502905756,"Deans",2022-08-16,3
0.0227251808976116,"Deans",2022-08-16,3
0.0485127783620929,"Deans",2022-08-16,3
0.0100488296533758,"Deans",2022-08-16,3
0.00851678994457795,"Deans",2022-08-16,3
0.0120106220791765,"Deans",2022-08-16,3
0.0141940963631434,"Deans",2022-08-16,3
0.0260832619854945,"Deans",2022-08-16,3
0.0416505753692765,"Deans",2022-08-16,3
0.0234277725321612,"Deans",2022-08-16,3
0.0200987901082896,"Deans",2022-08-16,3
0.0219450421240893,"Deans",2022-08-16,3
0.038343539092218,"Deans",2022-08-16,3
0.0431349303052224,"Deans",2022-08-16,3
0.00704072851883312,"Deans",2022-08-16,3
0.00704489636744082,"Deans",2022-08-16,3
0.0119430740810487,"Deans",2022-08-16,3
0.00576948488247673,"Deans",2022-08-16,3
0.00371636935066692,"Deans",2022-08-16,3
0.00921759719142618,"Deans",2022-08-16,3
0.0275650652826011,"Deans",2022-08-16,3
0.00589623869957684,"Deans",2022-08-16,3
0.0250103301610541,"Deans",2022-08-16,3
0.0239815265475214,"Deans",2022-08-16,3
0.0130973977291514,"Deans",2022-08-16,3
0.0103971790623725,"Deans",2022-08-16,3
0.00674105189692065,"Deans",2022-08-16,3
0.0190925431407601,"Deans",2022-08-16,3
0.0168341329292383,"Deans",2022-08-16,3
0.0241773835309188,"Deans",2022-08-16,3
0.00840150288193559,"Deans",2022-08-16,3
0.0289950974689165,"Deans",2022-08-16,3
0.0198525739778479,"Deans",2022-08-16,3
0.00138324200445679,"Deans",2022-08-16,3
0.0404536545952783,"Deans",2022-08-16,3
0.107273483744871,"Deans",2022-08-16,3
0.00984608235588936,"Deans",2022-08-16,4
0.022092272803182,"Deans",2022-08-16,4
