"","Unix Timestamp","UTC_Date_&_Time","Eastern Standard Time","Battery","Temperature","Dissolved Oxygen","Dissolved Oxygen Saturation","Q","DO_mgL","Date_Time"
"65","1654926960","2022-06-11 05:56:00","2022-06-11 01:56:00","3.210000","13.869000","0.060000","0.580523","0.947000",0.06,2022-06-11 01:56:00
"66","1654927560","2022-06-11 06:06:00","2022-06-11 02:06:00","3.220000","13.826000","0.061000","0.589640","0.947000",0.061,2022-06-11 02:06:00
"67","1654928160","2022-06-11 06:16:00","2022-06-11 02:16:00","3.220000","13.860000","0.059000","0.570735","0.947000",0.059,2022-06-11 02:16:00
"68","1654928760","2022-06-11 06:26:00","2022-06-11 02:26:00","3.220000","13.860000","0.061000","0.590082","0.947000",0.061,2022-06-11 02:26:00
"69","1654929360","2022-06-11 06:36:00","2022-06-11 02:36:00","3.220000","13.860000","0.059000","0.570735","0.947000",0.059,2022-06-11 02:36:00
"70","1654929960","2022-06-11 06:46:00","2022-06-11 02:46:00","3.210000","13.869000","0.060000","0.580523","0.947000",0.06,2022-06-11 02:46:00
"71","1654930560","2022-06-11 06:56:00","2022-06-11 02:56:00","3.210000","13.852000","0.060000","0.580306","0.947000",0.06,2022-06-11 02:56:00
"72","1654931160","2022-06-11 07:06:00","2022-06-11 03:06:00","3.210000","13.834000","0.059000","0.570408","0.947000",0.059,2022-06-11 03:06:00
"73","1654931760","2022-06-11 07:16:00","2022-06-11 03:16:00","3.210000","13.869000","0.060000","0.580523","0.947000",0.06,2022-06-11 03:16:00
"74","1654932360","2022-06-11 07:26:00","2022-06-11 03:26:00","3.210000","13.852000","0.060000","0.580306","0.947000",0.06,2022-06-11 03:26:00
"75","1654932960","2022-06-11 07:36:00","2022-06-11 03:36:00","3.210000","13.843000","0.059000","0.570521","0.947000",0.059,2022-06-11 03:36:00
"76","1654933560","2022-06-11 07:46:00","2022-06-11 03:46:00","3.210000","13.860000","0.059000","0.570735","0.947000",0.059,2022-06-11 03:46:00
"77","1654934160","2022-06-11 07:56:00","2022-06-11 03:56:00","3.220000","13.860000","0.059000","0.570735","0.947000",0.059,2022-06-11 03:56:00
"78","1654934760","2022-06-11 08:06:00","2022-06-11 04:06:00","3.210000","13.834000","0.061000","0.589744","0.947000",0.061,2022-06-11 04:06:00
"79","1654935360","2022-06-11 08:16:00","2022-06-11 04:16:00","3.210000","13.860000","0.060000","0.580408","0.947000",0.06,2022-06-11 04:16:00
"80","1654935960","2022-06-11 08:26:00","2022-06-11 04:26:00","3.210000","13.834000","0.058000","0.560740","0.947000",0.058,2022-06-11 04:26:00
"81","1654936560","2022-06-11 08:36:00","2022-06-11 04:36:00","3.210000","13.834000","0.059000","0.570408","0.947000",0.059,2022-06-11 04:36:00
"82","1654937160","2022-06-11 08:46:00","2022-06-11 04:46:00","3.210000","13.826000","0.060000","0.579974","0.947000",0.06,2022-06-11 04:46:00
"83","1654937760","2022-06-11 08:56:00","2022-06-11 04:56:00","3.210000","13.817000","0.060000","0.579859","0.947000",0.06,2022-06-11 04:56:00
"84","1654938360","2022-06-11 09:06:00","2022-06-11 05:06:00","3.210000","13.808000","0.060000","0.579744","0.947000",0.06,2022-06-11 05:06:00
"85","1654938960","2022-06-11 09:16:00","2022-06-11 05:16:00","3.210000","13.834000","0.059000","0.570408","0.947000",0.059,2022-06-11 05:16:00
"86","1654939560","2022-06-11 09:26:00","2022-06-11 05:26:00","3.210000","13.852000","0.060000","0.580306","0.947000",0.06,2022-06-11 05:26:00
"87","1654940160","2022-06-11 09:36:00","2022-06-11 05:36:00","3.210000","13.843000","0.060000","0.580191","0.947000",0.06,2022-06-11 05:36:00
"88","1654940760","2022-06-11 09:46:00","2022-06-11 05:46:00","3.210000","13.817000","0.060000","0.579859","0.947000",0.06,2022-06-11 05:46:00
"89","1654941360","2022-06-11 09:56:00","2022-06-11 05:56:00","3.220000","13.826000","0.060000","0.579974","0.947000",0.06,2022-06-11 05:56:00
"90","1654941960","2022-06-11 10:06:00","2022-06-11 06:06:00","3.220000","13.843000","0.061000","0.589861","0.947000",0.061,2022-06-11 06:06:00
"91","1654942560","2022-06-11 10:16:00","2022-06-11 06:16:00","3.210000","13.826000","0.057000","0.550975","0.947000",0.057,2022-06-11 06:16:00
"92","1654943160","2022-06-11 10:26:00","2022-06-11 06:26:00","3.210000","13.834000","0.058000","0.560740","0.947000",0.058,2022-06-11 06:26:00
"93","1654943760","2022-06-11 10:36:00","2022-06-11 06:36:00","3.210000","13.834000","0.059000","0.570408","0.947000",0.059,2022-06-11 06:36:00
"94","1654944360","2022-06-11 10:46:00","2022-06-11 06:46:00","3.210000","13.843000","0.059000","0.570521","0.947000",0.059,2022-06-11 06:46:00
"95","1654944960","2022-06-11 10:56:00","2022-06-11 06:56:00","3.210000","13.826000","0.059000","0.570308","0.947000",0.059,2022-06-11 06:56:00
"96","1654945560","2022-06-11 11:06:00","2022-06-11 07:06:00","3.210000","13.834000","0.059000","0.570408","0.947000",0.059,2022-06-11 07:06:00
"97","1654946160","2022-06-11 11:16:00","2022-06-11 07:16:00","3.210000","13.826000","0.061000","0.589640","0.948000",0.061,2022-06-11 07:16:00
"98","1654946760","2022-06-11 11:26:00","2022-06-11 07:26:00","3.210000","13.834000","0.059000","0.570408","0.948000",0.059,2022-06-11 07:26:00
"99","1654947360","2022-06-11 11:36:00","2022-06-11 07:36:00","3.210000","13.826000","0.061000","0.589640","0.947000",0.061,2022-06-11 07:36:00
"100","1654947960","2022-06-11 11:46:00","2022-06-11 07:46:00","3.210000","13.817000","0.059000","0.570195","0.948000",0.059,2022-06-11 07:46:00
"101","1654948560","2022-06-11 11:56:00","2022-06-11 07:56:00","3.210000","13.826000","0.060000","0.579974","0.947000",0.06,2022-06-11 07:56:00
"102","1654949160","2022-06-11 12:06:00","2022-06-11 08:06:00","3.210000","13.834000","0.059000","0.570408","0.947000",0.059,2022-06-11 08:06:00
"103","1654949760","2022-06-11 12:16:00","2022-06-11 08:16:00","3.210000","13.834000","0.059000","0.570408","0.947000",0.059,2022-06-11 08:16:00
"104","1654950360","2022-06-11 12:26:00","2022-06-11 08:26:00","3.210000","13.826000","0.058000","0.560642","0.947000",0.058,2022-06-11 08:26:00
"105","1654950960","2022-06-11 12:36:00","2022-06-11 08:36:00","3.210000","13.843000","0.060000","0.580191","0.947000",0.06,2022-06-11 08:36:00
"106","1654951560","2022-06-11 12:46:00","2022-06-11 08:46:00","3.210000","13.843000","0.059000","0.570521","0.947000",0.059,2022-06-11 08:46:00
"107","1654952160","2022-06-11 12:56:00","2022-06-11 08:56:00","3.210000","13.826000","0.059000","0.570308","0.947000",0.059,2022-06-11 08:56:00
"108","1654952760","2022-06-11 13:06:00","2022-06-11 09:06:00","3.210000","13.834000","0.058000","0.560740","0.947000",0.058,2022-06-11 09:06:00
"109","1654953360","2022-06-11 13:16:00","2022-06-11 09:16:00","3.210000","13.834000","0.060000","0.580076","0.947000",0.06,2022-06-11 09:16:00
"110","1654953960","2022-06-11 13:26:00","2022-06-11 09:26:00","3.210000","13.843000","0.059000","0.570521","0.948000",0.059,2022-06-11 09:26:00
"111","1654954560","2022-06-11 13:36:00","2022-06-11 09:36:00","3.210000","13.817000","0.059000","0.570195","0.947000",0.059,2022-06-11 09:36:00
"112","1654955160","2022-06-11 13:46:00","2022-06-11 09:46:00","3.210000","13.799000","0.059000","0.569969","0.947000",0.059,2022-06-11 09:46:00
"113","1654955760","2022-06-11 13:56:00","2022-06-11 09:56:00","3.210000","13.843000","0.058000","0.560852","0.947000",0.058,2022-06-11 09:56:00
"114","1654956360","2022-06-11 14:06:00","2022-06-11 10:06:00","3.210000","13.860000","0.058000","0.561062","0.947000",0.058,2022-06-11 10:06:00
"115","1654956960","2022-06-11 14:16:00","2022-06-11 10:16:00","3.210000","13.826000","0.058000","0.560642","0.947000",0.058,2022-06-11 10:16:00
"116","1654957560","2022-06-11 14:26:00","2022-06-11 10:26:00","3.210000","13.817000","0.059000","0.570195","0.947000",0.059,2022-06-11 10:26:00
"117","1654958160","2022-06-11 14:36:00","2022-06-11 10:36:00","3.210000","13.852000","0.068000","0.657680","0.948000",0.068,2022-06-11 10:36:00
"118","1654958760","2022-06-11 14:46:00","2022-06-11 10:46:00","3.210000","13.765000","0.064000","0.617808","0.947000",0.064,2022-06-11 10:46:00
"119","1654959360","2022-06-11 14:56:00","2022-06-11 10:56:00","3.210000","13.843000","0.061000","0.589861","0.948000",0.061,2022-06-11 10:56:00
"120","1654959960","2022-06-11 15:06:00","2022-06-11 11:06:00","3.210000","13.782000","0.059000","0.569755","0.947000",0.059,2022-06-11 11:06:00
"121","1654960560","2022-06-11 15:16:00","2022-06-11 11:16:00","3.210000","13.817000","0.058000","0.560530","0.947000",0.058,2022-06-11 11:16:00
"122","1654961160","2022-06-11 15:26:00","2022-06-11 11:26:00","3.210000","13.826000","0.058000","0.560642","0.947000",0.058,2022-06-11 11:26:00
"123","1654961760","2022-06-11 15:36:00","2022-06-11 11:36:00","3.210000","13.852000","0.057000","0.551291","0.947000",0.057,2022-06-11 11:36:00
"124","1654962360","2022-06-11 15:46:00","2022-06-11 11:46:00","3.210000","13.808000","0.058000","0.560419","0.947000",0.058,2022-06-11 11:46:00
"125","1654962960","2022-06-11 15:56:00","2022-06-11 11:56:00","3.210000","13.817000","0.059000","0.570195","0.947000",0.059,2022-06-11 11:56:00
"126","1654963560","2022-06-11 16:06:00","2022-06-11 12:06:00","3.210000","13.834000","0.058000","0.560740","0.947000",0.058,2022-06-11 12:06:00
"127","1654964160","2022-06-11 16:16:00","2022-06-11 12:16:00","3.210000","13.826000","0.058000","0.560642","0.947000",0.058,2022-06-11 12:16:00
"128","1654964760","2022-06-11 16:26:00","2022-06-11 12:26:00","3.210000","13.826000","0.058000","0.560642","0.947000",0.058,2022-06-11 12:26:00
"129","1654965360","2022-06-11 16:36:00","2022-06-11 12:36:00","3.210000","13.799000","0.058000","0.560308","0.947000",0.058,2022-06-11 12:36:00
